tweet,location,request_type,urgency
Looking for volunteers in Mumbai for Humanitarian help.,Mumbai,Humanitarian,Urgent
Requesting Humanitarian support in Kochi. Please help.,Kochi,Humanitarian,Urgent
Requesting Humanitarian support in Shillong. Please help.,Shillong,Humanitarian,Urgent
"Family stranded in Chandigarh, require Medical.",Chandigarh,Medical,Urgent
Urgent call for Food & Supplies aid in Indore.,Indore,Food & Supplies,Non-Urgent
Urgent call for Medical aid in Ranchi.,Ranchi,Medical,Urgent
Senior citizens need Humanitarian assistance in Siliguri.,Siliguri,Humanitarian,Non-Urgent
Requesting Humanitarian support in Lucknow. Please help.,Lucknow,Humanitarian,Non-Urgent
"Family stranded in Jaipur, require Medical.",Jaipur,Medical,Urgent
Looking for volunteers in Leh for Food & Supplies help.,Leh,Food & Supplies,Urgent
"Supplies running low in Leh, need Humanitarian.",Leh,Humanitarian,Urgent
Medical emergency reported in Mumbai. Need Food & Supplies.,Mumbai,Food & Supplies,Urgent
Need immediate assistance in Imphal. Situation critical.,Imphal,Medical,Non-Urgent
"Supplies running low in Coimbatore, need Humanitarian.",Coimbatore,Humanitarian,Urgent
Need immediate assistance in Vadodara. Situation critical.,Vadodara,Food & Supplies,Urgent
Need immediate assistance in Kolkata. Situation critical.,Kolkata,Humanitarian,Non-Urgent
"Family stranded in Leh, require Food & Supplies.",Leh,Food & Supplies,Non-Urgent
"Family stranded in Lucknow, require Humanitarian.",Lucknow,Humanitarian,Non-Urgent
Children in Udaipur require urgent Food & Supplies support.,Udaipur,Food & Supplies,Non-Urgent
Requesting Humanitarian support in Surat. Please help.,Surat,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Chandigarh.,Chandigarh,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Chennai.,Chennai,Food & Supplies,Urgent
Community in Nagpur asking for Food & Supplies assistance.,Nagpur,Food & Supplies,Urgent
Looking for volunteers in Coimbatore for Food & Supplies help.,Coimbatore,Food & Supplies,Urgent
Community in Goa asking for Medical assistance.,Goa,Medical,Urgent
"Supplies running low in Ahmedabad, need Humanitarian.",Ahmedabad,Humanitarian,Urgent
"Supplies running low in Indore, need Humanitarian.",Indore,Humanitarian,Urgent
"Supplies running low in Coimbatore, need Medical.",Coimbatore,Medical,Non-Urgent
Community in Bhubaneswar asking for Humanitarian assistance.,Bhubaneswar,Humanitarian,Non-Urgent
Medical emergency reported in Mumbai. Need Medical.,Mumbai,Medical,Non-Urgent
Community in Patna asking for Medical assistance.,Patna,Medical,Non-Urgent
"Supplies running low in Bengaluru, need Medical.",Bengaluru,Medical,Urgent
Requesting Humanitarian support in Surat. Please help.,Surat,Humanitarian,Urgent
Community in Thiruvananthapuram asking for Food & Supplies assistance.,Thiruvananthapuram,Food & Supplies,Urgent
"Supplies running low in Lucknow, need Food & Supplies.",Lucknow,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Guwahati.,Guwahati,Humanitarian,Urgent
Senior citizens need Medical assistance in Ranchi.,Ranchi,Medical,Urgent
Senior citizens need Medical assistance in Ahmedabad.,Ahmedabad,Medical,Urgent
"Family stranded in Indore, require Medical.",Indore,Medical,Non-Urgent
Medical emergency reported in Kolkata. Need Food & Supplies.,Kolkata,Food & Supplies,Non-Urgent
Children in Pune require urgent Food & Supplies support.,Pune,Food & Supplies,Non-Urgent
Need immediate assistance in Lucknow. Situation critical.,Lucknow,Medical,Urgent
Looking for volunteers in Bhubaneswar for Medical help.,Bhubaneswar,Medical,Urgent
Community in Mumbai asking for Food & Supplies assistance.,Mumbai,Food & Supplies,Non-Urgent
Medical emergency reported in Bengaluru. Need Medical.,Bengaluru,Medical,Urgent
Medical emergency reported in Shillong. Need Humanitarian.,Shillong,Humanitarian,Urgent
"Family stranded in Siliguri, require Medical.",Siliguri,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Bhubaneswar.,Bhubaneswar,Food & Supplies,Non-Urgent
Medical emergency reported in Ranchi. Need Humanitarian.,Ranchi,Humanitarian,Non-Urgent
Children in Itanagar require urgent Food & Supplies support.,Itanagar,Food & Supplies,Urgent
Requesting Food & Supplies support in Bengaluru. Please help.,Bengaluru,Food & Supplies,Urgent
Urgent call for Food & Supplies aid in Udaipur.,Udaipur,Food & Supplies,Urgent
Children in Cuttack require urgent Medical support.,Cuttack,Medical,Non-Urgent
Looking for volunteers in Leh for Food & Supplies help.,Leh,Food & Supplies,Non-Urgent
Urgent call for Medical aid in Delhi.,Delhi,Medical,Urgent
Requesting Medical support in Kolkata. Please help.,Kolkata,Medical,Non-Urgent
"Supplies running low in Siliguri, need Food & Supplies.",Siliguri,Food & Supplies,Non-Urgent
Need immediate assistance in Aizawl. Situation critical.,Aizawl,Medical,Urgent
"Supplies running low in Delhi, need Medical.",Delhi,Medical,Urgent
Looking for volunteers in Bhopal for Food & Supplies help.,Bhopal,Food & Supplies,Non-Urgent
Need immediate assistance in Vadodara. Situation critical.,Vadodara,Medical,Urgent
Children in Chandigarh require urgent Food & Supplies support.,Chandigarh,Food & Supplies,Non-Urgent
Need immediate assistance in Bhubaneswar. Situation critical.,Bhubaneswar,Food & Supplies,Urgent
"Supplies running low in Pune, need Humanitarian.",Pune,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Chennai.,Chennai,Food & Supplies,Urgent
"Supplies running low in Jaipur, need Humanitarian.",Jaipur,Humanitarian,Non-Urgent
Looking for volunteers in Gurugram for Medical help.,Gurugram,Medical,Urgent
Senior citizens need Humanitarian assistance in Nagpur.,Nagpur,Humanitarian,Urgent
Community in Mysuru asking for Food & Supplies assistance.,Mysuru,Food & Supplies,Urgent
Medical emergency reported in Delhi. Need Humanitarian.,Delhi,Humanitarian,Non-Urgent
Urgent call for Food & Supplies aid in Ahmedabad.,Ahmedabad,Food & Supplies,Urgent
Children in Siliguri require urgent Food & Supplies support.,Siliguri,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Kanpur.,Kanpur,Humanitarian,Non-Urgent
Children in Kanpur require urgent Medical support.,Kanpur,Medical,Urgent
Senior citizens need Food & Supplies assistance in Shillong.,Shillong,Food & Supplies,Non-Urgent
Requesting Humanitarian support in Vadodara. Please help.,Vadodara,Humanitarian,Non-Urgent
"Supplies running low in Bhopal, need Humanitarian.",Bhopal,Humanitarian,Urgent
"Supplies running low in Mysuru, need Medical.",Mysuru,Medical,Non-Urgent
Need immediate assistance in Lucknow. Situation critical.,Lucknow,Humanitarian,Urgent
Requesting Food & Supplies support in Warangal. Please help.,Warangal,Food & Supplies,Urgent
Requesting Food & Supplies support in Bhopal. Please help.,Bhopal,Food & Supplies,Urgent
Senior citizens need Food & Supplies assistance in Delhi.,Delhi,Food & Supplies,Non-Urgent
"Family stranded in Chennai, require Food & Supplies.",Chennai,Food & Supplies,Urgent
Medical emergency reported in Mysuru. Need Humanitarian.,Mysuru,Humanitarian,Urgent
Children in Patna require urgent Food & Supplies support.,Patna,Food & Supplies,Urgent
Requesting Medical support in Itanagar. Please help.,Itanagar,Medical,Non-Urgent
Looking for volunteers in Itanagar for Humanitarian help.,Itanagar,Humanitarian,Non-Urgent
Need immediate assistance in Mysuru. Situation critical.,Mysuru,Medical,Urgent
"Family stranded in Coimbatore, require Medical.",Coimbatore,Medical,Non-Urgent
"Family stranded in Mysuru, require Food & Supplies.",Mysuru,Food & Supplies,Urgent
"Supplies running low in Itanagar, need Medical.",Itanagar,Medical,Non-Urgent
Looking for volunteers in Shillong for Humanitarian help.,Shillong,Humanitarian,Non-Urgent
Senior citizens need Humanitarian assistance in Ahmedabad.,Ahmedabad,Humanitarian,Non-Urgent
Children in Lucknow require urgent Food & Supplies support.,Lucknow,Food & Supplies,Urgent
Urgent call for Food & Supplies aid in Leh.,Leh,Food & Supplies,Non-Urgent
Medical emergency reported in Imphal. Need Humanitarian.,Imphal,Humanitarian,Urgent
Community in Bengaluru asking for Food & Supplies assistance.,Bengaluru,Food & Supplies,Non-Urgent
Senior citizens need Humanitarian assistance in Bengaluru.,Bengaluru,Humanitarian,Non-Urgent
Need immediate assistance in Nagpur. Situation critical.,Nagpur,Food & Supplies,Urgent
Looking for volunteers in Guwahati for Food & Supplies help.,Guwahati,Food & Supplies,Non-Urgent
Requesting Humanitarian support in Kanpur. Please help.,Kanpur,Humanitarian,Urgent
Senior citizens need Medical assistance in Itanagar.,Itanagar,Medical,Urgent
"Family stranded in Mysuru, require Humanitarian.",Mysuru,Humanitarian,Urgent
Community in Nagpur asking for Medical assistance.,Nagpur,Medical,Non-Urgent
"Family stranded in Aizawl, require Humanitarian.",Aizawl,Humanitarian,Non-Urgent
Need immediate assistance in Srinagar. Situation critical.,Srinagar,Food & Supplies,Urgent
Children in Agartala require urgent Medical support.,Agartala,Medical,Urgent
Community in Thiruvananthapuram asking for Humanitarian assistance.,Thiruvananthapuram,Humanitarian,Urgent
Looking for volunteers in Bhopal for Humanitarian help.,Bhopal,Humanitarian,Non-Urgent
Looking for volunteers in Cuttack for Humanitarian help.,Cuttack,Humanitarian,Non-Urgent
"Family stranded in Mysuru, require Humanitarian.",Mysuru,Humanitarian,Urgent
Community in Chennai asking for Food & Supplies assistance.,Chennai,Food & Supplies,Urgent
Medical emergency reported in Ahmedabad. Need Medical.,Ahmedabad,Medical,Urgent
Children in Itanagar require urgent Food & Supplies support.,Itanagar,Food & Supplies,Urgent
Medical emergency reported in Itanagar. Need Medical.,Itanagar,Medical,Urgent
Medical emergency reported in Bhubaneswar. Need Humanitarian.,Bhubaneswar,Humanitarian,Urgent
"Family stranded in Ahmedabad, require Medical.",Ahmedabad,Medical,Urgent
Looking for volunteers in Delhi for Medical help.,Delhi,Medical,Non-Urgent
Children in Jaipur require urgent Medical support.,Jaipur,Medical,Urgent
Urgent call for Humanitarian aid in Bengaluru.,Bengaluru,Humanitarian,Urgent
Senior citizens need Medical assistance in Ahmedabad.,Ahmedabad,Medical,Non-Urgent
"Supplies running low in Pune, need Food & Supplies.",Pune,Food & Supplies,Urgent
"Supplies running low in Udaipur, need Humanitarian.",Udaipur,Humanitarian,Non-Urgent
Children in Mysuru require urgent Food & Supplies support.,Mysuru,Food & Supplies,Non-Urgent
"Supplies running low in Coimbatore, need Food & Supplies.",Coimbatore,Food & Supplies,Non-Urgent
Looking for volunteers in Leh for Medical help.,Leh,Medical,Urgent
"Supplies running low in Bengaluru, need Medical.",Bengaluru,Medical,Non-Urgent
"Supplies running low in Delhi, need Humanitarian.",Delhi,Humanitarian,Urgent
Urgent call for Medical aid in Aizawl.,Aizawl,Medical,Non-Urgent
"Family stranded in Noida, require Food & Supplies.",Noida,Food & Supplies,Urgent
Need immediate assistance in Delhi. Situation critical.,Delhi,Food & Supplies,Non-Urgent
Need immediate assistance in Nagpur. Situation critical.,Nagpur,Humanitarian,Non-Urgent
Senior citizens need Medical assistance in Warangal.,Warangal,Medical,Non-Urgent
Looking for volunteers in Bhopal for Humanitarian help.,Bhopal,Humanitarian,Urgent
"Supplies running low in Pune, need Food & Supplies.",Pune,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Bhubaneswar.,Bhubaneswar,Humanitarian,Urgent
Community in Mysuru asking for Food & Supplies assistance.,Mysuru,Food & Supplies,Urgent
Medical emergency reported in Patna. Need Humanitarian.,Patna,Humanitarian,Non-Urgent
Looking for volunteers in Jammu for Humanitarian help.,Jammu,Humanitarian,Non-Urgent
Looking for volunteers in Siliguri for Humanitarian help.,Siliguri,Humanitarian,Urgent
Requesting Food & Supplies support in Patna. Please help.,Patna,Food & Supplies,Urgent
Senior citizens need Medical assistance in Mysuru.,Mysuru,Medical,Non-Urgent
Requesting Humanitarian support in Gurugram. Please help.,Gurugram,Humanitarian,Urgent
Looking for volunteers in Shillong for Medical help.,Shillong,Medical,Urgent
"Family stranded in Lucknow, require Medical.",Lucknow,Medical,Non-Urgent
Requesting Humanitarian support in Cuttack. Please help.,Cuttack,Humanitarian,Urgent
Community in Jaipur asking for Food & Supplies assistance.,Jaipur,Food & Supplies,Non-Urgent
Children in Siliguri require urgent Food & Supplies support.,Siliguri,Food & Supplies,Urgent
Need immediate assistance in Noida. Situation critical.,Noida,Medical,Urgent
Senior citizens need Medical assistance in Jaipur.,Jaipur,Medical,Urgent
Requesting Food & Supplies support in Cuttack. Please help.,Cuttack,Food & Supplies,Non-Urgent
"Family stranded in Jaipur, require Food & Supplies.",Jaipur,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Nagpur.,Nagpur,Food & Supplies,Urgent
Requesting Food & Supplies support in Bengaluru. Please help.,Bengaluru,Food & Supplies,Urgent
"Family stranded in Srinagar, require Food & Supplies.",Srinagar,Food & Supplies,Non-Urgent
Requesting Medical support in Leh. Please help.,Leh,Medical,Urgent
Medical emergency reported in Warangal. Need Humanitarian.,Warangal,Humanitarian,Non-Urgent
Urgent call for Medical aid in Gurugram.,Gurugram,Medical,Non-Urgent
"Family stranded in Agartala, require Food & Supplies.",Agartala,Food & Supplies,Urgent
Children in Coimbatore require urgent Medical support.,Coimbatore,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Ahmedabad.,Ahmedabad,Food & Supplies,Urgent
"Family stranded in Indore, require Humanitarian.",Indore,Humanitarian,Non-Urgent
Medical emergency reported in Kolkata. Need Humanitarian.,Kolkata,Humanitarian,Non-Urgent
Urgent call for Humanitarian aid in Shillong.,Shillong,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Udaipur.,Udaipur,Food & Supplies,Urgent
Children in Thiruvananthapuram require urgent Humanitarian support.,Thiruvananthapuram,Humanitarian,Non-Urgent
Need immediate assistance in Goa. Situation critical.,Goa,Humanitarian,Urgent
Community in Warangal asking for Food & Supplies assistance.,Warangal,Food & Supplies,Urgent
Urgent call for Medical aid in Coimbatore.,Coimbatore,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Ahmedabad.,Ahmedabad,Food & Supplies,Urgent
"Family stranded in Hyderabad, require Food & Supplies.",Hyderabad,Food & Supplies,Urgent
Looking for volunteers in Srinagar for Medical help.,Srinagar,Medical,Non-Urgent
Senior citizens need Food & Supplies assistance in Ranchi.,Ranchi,Food & Supplies,Urgent
Community in Lucknow asking for Food & Supplies assistance.,Lucknow,Food & Supplies,Non-Urgent
"Supplies running low in Patna, need Medical.",Patna,Medical,Non-Urgent
Need immediate assistance in Hyderabad. Situation critical.,Hyderabad,Food & Supplies,Urgent
Requesting Food & Supplies support in Guwahati. Please help.,Guwahati,Food & Supplies,Non-Urgent
Children in Shillong require urgent Food & Supplies support.,Shillong,Food & Supplies,Non-Urgent
Urgent call for Medical aid in Kanpur.,Kanpur,Medical,Urgent
Looking for volunteers in Jaipur for Medical help.,Jaipur,Medical,Urgent
Community in Warangal asking for Medical assistance.,Warangal,Medical,Urgent
Requesting Medical support in Imphal. Please help.,Imphal,Medical,Urgent
Requesting Medical support in Bhopal. Please help.,Bhopal,Medical,Non-Urgent
"Family stranded in Mysuru, require Medical.",Mysuru,Medical,Urgent
Requesting Food & Supplies support in Indore. Please help.,Indore,Food & Supplies,Urgent
"Family stranded in Jaipur, require Medical.",Jaipur,Medical,Urgent
Senior citizens need Humanitarian assistance in Shillong.,Shillong,Humanitarian,Urgent
"Family stranded in Bhubaneswar, require Food & Supplies.",Bhubaneswar,Food & Supplies,Non-Urgent
Urgent call for Food & Supplies aid in Nagpur.,Nagpur,Food & Supplies,Non-Urgent
Children in Vadodara require urgent Food & Supplies support.,Vadodara,Food & Supplies,Urgent
